Year,Cigarettes.Adult.Day,crude_death_rate_per_100k_male,X,X.1,X.2
1900,0.1,NA,NA,NA,NA
1901,0.1,NA,NA,NA,NA
1902,0.1,NA,NA,NA,NA
1903,0.1,NA,NA,NA,NA
1904,0.2,NA,NA,NA,NA
1905,0.2,NA,NA,NA,NA
1906,0.2,NA,NA,NA,NA
1907,0.2,NA,NA,NA,NA
1908,0.2,NA,NA,NA,NA
1909,0.3,NA,NA,NA,NA
1910,0.4,NA,NA,NA,NA
1911,0.4,NA,NA,NA,NA
1912,0.5,NA,NA,NA,NA
1913,0.6,NA,NA,NA,NA
1914,0.6,NA,NA,NA,NA
1915,0.7,NA,NA,NA,NA
1916,1,NA,NA,NA,NA
1917,1.4,NA,NA,NA,NA
1918,1.7,NA,NA,NA,NA
1919,1.8,NA,NA,NA,NA
1920,1.7,NA,NA,NA,NA
1921,1.9,NA,NA,NA,NA
1922,1.9,NA,NA,NA,NA
1923,2.3,NA,NA,NA,NA
1924,2.5,NA,NA,NA,NA
1925,2.7,NA,NA,NA,NA
1926,3,NA,NA,NA,NA
1927,3.8,NA,NA,NA,NA
1928,4,NA,NA,NA,NA
1929,4.3,NA,NA,NA,NA
1930,4.3,NA,NA,NA,NA
1931,4.3,NA,NA,NA,NA
1932,4.4,NA,NA,NA,NA
1933,4.8,NA,NA,NA,NA
1934,5.3,NA,NA,NA,NA
1935,5.7,NA,NA,NA,NA
1936,6,NA,NA,NA,NA
1937,6,NA,NA,NA,NA
1938,6,NA,NA,NA,NA
1939,6.2,NA,NA,NA,NA
1940,6.5,NA,NA,NA,NA
1941,6.8,NA,NA,NA,NA
1942,7.4,NA,NA,NA,NA
1943,7.8,NA,NA,NA,NA
1944,7,NA,NA,NA,NA
1945,8.1,NA,NA,NA,NA
1946,8.9,NA,NA,NA,NA
1947,9.1,NA,NA,NA,NA
1948,9.3,NA,NA,NA,NA
1949,9.3,NA,NA,NA,NA
1950,9.3,19.94,NA,NA,NA
1951,9.7,21.39,NA,NA,NA
1952,10,23.2,NA,NA,NA
1953,9.7,25.31,NA,NA,NA
1954,9.1,26.33,NA,NA,NA
1955,9.3,28.01,NA,NA,NA
1956,9.4,30.07,NA,NA,NA
1957,9.7,31.3,NA,NA,NA
1958,10.2,32.23,NA,NA,NA
1959,10.5,33.73,NA,NA,NA
1960,10.7,35.39,NA,NA,NA
1961,11,36.86,NA,NA,NA
1962,10.9,38.63,NA,NA,NA
1963,11,39.89,NA,NA,NA
1964,10.6,41.4,NA,NA,NA
1965,10.7,42.98,NA,NA,NA
1966,10.7,45.01,NA,NA,NA
1967,10.7,46.93,NA,NA,NA
1968,10.4,50.05,NA,NA,NA
1969,10,51.26,NA,NA,NA
1970,10.3,53,NA,NA,NA
1971,10,54.69,NA,NA,NA
1972,10.1,56.83,NA,NA,NA
1973,10.7,57.9,NA,NA,NA
1974,10.6,59.84,NA,NA,NA
1975,10.4,60.46,NA,NA,NA
1976,10.4,62.26,NA,NA,NA
1977,10.2,64.07,NA,NA,NA
1978,10,65.77,NA,NA,NA
1979,9.9,66.71,NA,NA,NA
1980,9.9,68.42,NA,NA,NA
1981,9.9,68.88,NA,NA,NA
1982,9.7,70.43,NA,NA,NA
1983,9.1,70.66,NA,NA,NA
1984,9,71.71,NA,NA,NA
1985,8.8,72.19,NA,NA,NA
1986,8.5,72.47,NA,NA,NA
1987,8.3,73.62,NA,NA,NA
1988,8,73.54,NA,NA,NA
1989,7.7,73.61,NA,NA,NA
1990,7.4,75.13,NA,NA,NA
1991,7.1,74.56,NA,NA,NA
1992,6.9,73.43,NA,NA,NA
1993,6.7,73.58,NA,NA,NA
1994,6.6,72.31,NA,NA,NA
1995,6.5,71.59,NA,NA,NA
1996,6.5,70.58,NA,NA,NA
1997,6.3,69.72,NA,NA,NA
1998,6.1,69.25,NA,NA,NA
1999,5.6,67.12,NA,NA,NA
2000,5.4,65.53,NA,NA,NA
2001,5.3,64.68,NA,NA,NA
2002,5.1,63.65,NA,NA,NA
2003,4.9,62.9,NA,NA,NA
2004,4.6,62.01,NA,NA,NA
2005,4.5,61.77,NA,NA,NA
2006,4.5,60.52,NA,NA,NA
2007,4.2,59.46,NA,NA,NA
2008,4.1,59.12,NA,NA,NA
2009,3.7,58.02,NA,NA,NA
2010,3.6,57.5,NA,NA,NA
2011,3.6,56.37,NA,NA,NA
2012,3.5,55.89,NA,NA,NA
2013,3.4,54.8,NA,NA,NA
2014,3.2,53.88,NA,NA,NA
